trial,luminance,repetition,complementary,transient_counts,cdt,mdt,dtstd,key_press_list
24,60,3,0,12,4.7620933055877686,0.7936822175979614,0.34139672753523487,"[0.5017480850219727, 1.4134891033172607, 0.5736198425292969, 0.6535663604736328, 0.5258080959320068, 1.0938618183135986]"
25,60,1,0,8,1.704268217086792,0.426067054271698,0.1712625686918973,"[0.5254840850830078, 0.24559307098388672, 0.2774081230163574, 0.65578293800354]"
26,15,4,1,2,0.18157696723937988,0.18157696723937988,0.0,[0.18157696723937988]
27,15,3,1,6,3.3519186973571777,1.1173062324523926,0.45098803773021523,"[1.6051099300384521, 0.5175659656524658, 1.2292428016662598]"
28,35,1,0,6,1.1682791709899902,0.38942639032999676,0.17665825218058356,"[0.5973958969116211, 0.405332088470459, 0.16555118560791016]"
29,35,1,1,0,0.0,0.0,0.0,[]
30,15,5,1,10,8.051267623901367,1.6102535247802734,1.0707991221103668,"[2.7655789852142334, 0.493222713470459, 3.0453760623931885, 0.9258098602294922, 0.8212800025939941]"
31,5,2,1,4,0.7795135974884033,0.38975679874420166,0.1682199239730835,"[0.22153687477111816, 0.5579767227172852]"
32,15,1,1,10,11.460057973861694,2.292011594772339,1.4056924517287548,"[2.573556900024414, 4.893856048583984, 1.4536528587341309, 0.9252049922943115, 1.6137871742248535]"
33,5,1,1,2,0.20561790466308594,0.20561790466308594,0.0,[0.20561790466308594]
34,35,4,0,14,8.353371143341064,1.1933387347630091,0.7321561445371205,"[1.101722240447998, 2.653524160385132, 0.48561906814575195, 1.4313287734985352, 0.2217540740966797, 1.4617719650268555, 0.9976508617401123]"
35,35,5,0,10,2.931438684463501,0.5862877368927002,0.3224873555989346,"[0.8615849018096924, 0.23731780052185059, 0.14963889122009277, 0.8136489391326904, 0.8692481517791748]"
36,25,3,1,6,0.7681729793548584,0.2560576597849528,0.12133773629618341,"[0.42132091522216797, 0.21342992782592773, 0.1334221363067627]"
37,5,4,0,8,3.990100145339966,0.9975250363349915,0.5335300646149254,"[1.0692448616027832, 1.8056800365447998, 0.7735381126403809, 0.34163713455200195]"
38,25,5,0,6,1.040759801864624,0.3469199339548747,0.28360023088400294,"[0.7336950302124023, 0.24544215202331543, 0.06162261962890625]"
39,60,4,0,4,0.4511590003967285,0.22557950019836426,0.027968406677246094,"[0.19761109352111816, 0.25354790687561035]"
40,35,2,0,4,0.7783718109130859,0.38918590545654297,0.20792794227600098,"[0.597113847732544, 0.181257963180542]"
41,5,3,0,10,2.5639026165008545,0.5127805233001709,0.3676169143395552,"[1.2376508712768555, 0.29360294342041016, 0.3972747325897217, 0.237778902053833, 0.3975951671600342]"
42,35,3,0,6,2.4806125164031982,0.826870838801066,0.6162264780134146,"[0.2695791721343994, 1.68575119972229, 0.5252821445465088]"
43,15,3,0,14,11.903435230255127,1.7004907471793038,1.1273754263419011,"[2.10959792137146, 0.38964104652404785, 3.837857961654663, 1.4136466979980469, 1.9172978401184082, 0.21375799179077148, 2.0216357707977295]"
44,35,4,1,2,0.09352493286132812,0.09352493286132812,0.0,[0.09352493286132812]
45,15,1,0,12,13.249534368515015,2.208255728085836,1.120116652274513,"[3.485729932785034, 0.9658100605010986, 2.109584093093872, 2.6292190551757812, 3.4616520404815674, 0.5975391864776611]"
46,5,4,1,4,0.5869691371917725,0.29348456859588623,0.2320326566696167,"[0.5255172252655029, 0.06145191192626953]"
47,25,1,0,14,11.520123958587646,1.6457319940839494,2.2628089480544675,"[1.3174338340759277, 0.5176141262054443, 7.061846017837524, 0.3577558994293213, 0.2856578826904297, 1.6057472229003906, 0.3740689754486084]"
48,5,5,1,2,0.10932707786560059,0.10932707786560059,0.0,[0.10932707786560059]
49,25,4,1,14,7.534836053848267,1.0764051505497523,0.6908260672513439,"[0.5653460025787354, 2.0774710178375244, 1.8456339836120605, 0.14966392517089844, 1.3336520195007324, 0.3417990207672119, 1.2212700843811035]"
50,15,2,1,8,7.189872980117798,1.7974682450294495,0.6166482499108725,"[1.1573379039764404, 2.5733819007873535, 2.2295730113983154, 1.2295801639556885]"
51,35,2,1,0,0.0,0.0,0.0,[]
52,15,4,0,8,23.567004203796387,5.891751050949097,1.7893646843123467,"[8.029729127883911, 6.645836114883423, 5.765888929367065, 3.1255500316619873]"
