trial,transient_counts,cdt,mdt,dtstd,key_press_list
18,6,9.954847812652588,4.977423906326294,1.6518700122833252,"[6.629293918609619, 3.3255538940429688]"
21,6,3.3946356773376465,1.6973178386688232,0.6679799556732178,"[2.365297794342041, 1.0293378829956055]"
12,0,0.0,0.0,0.0,[]
19,3,3.405259847640991,3.405259847640991,0.0,[3.405259847640991]
6,0,0.0,0.0,0.0,[]
2,3,1.9893159866333008,1.9893159866333008,0.0,[1.9893159866333008]
9,9,7.401026964187622,2.4670089880625405,1.71898364942057,"[3.5973238945007324, 0.037944793701171875, 3.7657582759857178]"
16,6,10.650808811187744,5.325404405593872,1.8479974269866943,"[7.173401832580566, 3.4774069786071777]"
8,3,18.981739044189453,18.981739044189453,0.0,[18.981739044189453]
14,3,0.237260103225708,0.237260103225708,0.0,[0.237260103225708]
4,3,1.293262004852295,1.293262004852295,0.0,[1.293262004852295]
20,0,0.0,0.0,0.0,[]
24,0,0.0,0.0,0.0,[]
7,27,15.402541160583496,1.711393462287055,1.02248275955541,"[3.701611042022705, 0.6136448383331299, 0.6297612190246582, 2.3418171405792236, 2.1257359981536865, 0.40567970275878906, 2.381324052810669, 2.00541615486145, 1.1975510120391846]"
1,9,6.9045679569244385,2.301522652308146,1.163297691289669,"[2.021509885787964, 3.8454830646514893, 1.0375750064849854]"
3,24,18.02869200706482,2.2535865008831024,1.0868680619351907,"[2.5656940937042236, 4.133442163467407, 1.6377689838409424, 3.3893868923187256, 2.477339744567871, 1.3575291633605957, 2.013720989227295, 0.4538099765777588]"
22,3,1.949220895767212,1.949220895767212,0.0,[1.949220895767212]
11,9,18.16085124015808,6.053617080052693,2.409847091341478,"[4.3655290603637695, 4.333716154098511, 9.4616060256958]"
5,15,14.755734920501709,2.9511469841003417,2.0370942766460947,"[6.701559066772461, 2.421720027923584, 3.2776570320129395, 1.1331729888916016, 1.221625804901123]"
23,0,0.0,0.0,0.0,[]
17,6,5.098750829696655,2.5493754148483276,0.7678714990615845,"[3.317246913909912, 1.7815039157867432]"
15,0,0.0,0.0,0.0,[]
10,9,8.54436445236206,2.848121484120687,0.6859384735196782,"[3.693413257598877, 2.837639093399048, 2.0133121013641357]"
13,9,17.312434673309326,5.770811557769775,5.5625635050842925,"[13.57392692565918, 2.7333788871765137, 1.0051288604736328]"
0,12,17.159027576446533,4.289756894111633,2.850151684210571,"[7.549399137496948, 6.470322132110596, 2.6456172466278076, 0.49368906021118164]"
