trial,transient_counts,cdt,mdt,dtstd,key_press_list
6,9,10.896056413650513,3.632018804550171,0.8636408667700669,"[3.701090097427368, 4.653530120849609, 2.541436195373535]"
24,0,0.0,0.0,0.0,[]
23,6,1.842900037765503,0.9214500188827515,0.0038851499557495117,"[0.925335168838501, 0.917564868927002]"
13,9,19.256650924682617,6.418883641560872,2.083603132972471,"[3.9491870403289795, 6.261772155761719, 9.045691728591919]"
4,18,12.186068773269653,2.031011462211609,1.0127130444297867,"[0.373729944229126, 1.7895870208740234, 1.4856688976287842, 2.261772871017456, 2.6138758659362793, 3.6614341735839844]"
8,15,23.35838270187378,4.671676540374756,2.8541142991857282,"[9.869924068450928, 5.501644849777222, 2.5353589057922363, 2.061676025390625, 3.3897788524627686]"
9,12,19.198748350143433,4.799687087535858,0.49574035554631535,"[5.1256797313690186, 3.981712818145752, 4.83752179145813, 5.253834009170532]"
12,18,13.728408813476562,2.2880681355794272,1.8480616924595152,"[2.2612781524658203, 1.8375329971313477, 6.157625913619995, 2.1496238708496094, 0.6289339065551758, 0.6934139728546143]"
1,15,13.012017250061035,2.602403450012207,1.4728717608401123,"[4.47762393951416, 4.173836946487427, 1.9654369354248047, 1.701545238494873, 0.6935741901397705]"
7,12,19.582711696624756,4.895677924156189,3.106227233126448,"[4.349663972854614, 1.4215738773345947, 9.917911052703857, 3.8935627937316895]"
5,12,16.9426167011261,4.235654175281525,0.7915358090437361,"[4.533691883087158, 5.005513906478882, 4.493665933609009, 2.90974497795105]"
3,12,4.21390175819397,1.0534754395484924,0.5154029284109803,"[0.6934428215026855, 1.6053738594055176, 1.5097830295562744, 0.4053020477294922]"
11,12,15.790353059768677,3.947588264942169,3.8260824957479462,"[0.6135618686676025, 4.557898998260498, 9.96552300453186, 0.6533691883087158]"
16,0,0.0,0.0,0.0,[]
22,6,7.187411069869995,3.5937055349349976,0.20396363735198975,"[3.7976691722869873, 3.389741897583008]"
19,18,17.40473222732544,2.9007887045542398,1.2246712794347612,"[3.6055238246917725, 3.2312734127044678, 2.893582820892334, 4.597793102264404, 2.487044095993042, 0.589514970779419]"
18,15,11.788154602050781,2.3576309204101564,0.613415488922366,"[2.0536530017852783, 2.2456729412078857, 1.8456709384918213, 3.557736873626709, 2.085420846939087]"
17,12,16.49727511405945,4.124318778514862,2.4315014520528573,"[1.8936741352081299, 4.237825870513916, 8.048110246658325, 2.317664861679077]"
0,15,9.1885244846344,1.8377048969268799,0.438738327601872,"[2.077505111694336, 1.7818329334259033, 1.0138931274414062, 2.061627149581909, 2.2536661624908447]"
2,21,9.974879026412964,1.424982718058995,0.4944297335187632,"[1.0295119285583496, 0.7736411094665527, 1.1895833015441895, 1.485388994216919, 2.2217061519622803, 1.2213478088378906, 2.0536997318267822]"
20,0,0.0,0.0,0.0,[]
14,15,16.331433057785034,3.266286611557007,1.2405994827065374,"[1.9974279403686523, 5.525635004043579, 3.445186138153076, 3.0456230640411377, 2.317560911178589]"
15,12,15.712007522583008,3.928001880645752,1.8850225952174107,"[2.3573601245880127, 2.8537192344665527, 7.133869171142578, 3.3670589923858643]"
10,9,21.320755004882812,7.1069183349609375,2.7172904820789654,"[7.1016480922698975, 10.437537908554077, 3.781569004058838]"
21,3,2.9013419151306152,2.9013419151306152,0.0,[2.9013419151306152]
